UserId,device_token,device_name,device_type
5e3ce37a-ba4c-e611-80e8-021dd8b71cd3,dQwE5zTjBoY:APA91bFBYhVZIVY1YKafcS1q1dHaCJS2trCfuxMqaF9PWEe0nav4jHMZi5BJE-_yn721h5XBgvrMm7bo7LOk4-vmJzke57gfGO-E49lnE1pvGfKsLTa4Oufxc5PHJzmBh8la7F1k3Lmo,HUAWEI ANE-LX2,Android
692eb41a-c281-e211-80f2-00155d350211,fuKpRCd4KJE:APA91bGIIt3c9AAEqtkM3GzkCKA9qwNX5N9y7X_0JfMrW_1XOxfc1Yc5jrsK-GvSNZ2oQPyyTHIYK51hEiXf5nRgc1CNFe5BgxS3Pa24Mx7kmvGmW-ytCpsI9hFa7SFVrimkpfpg5Mtm,LGE LG-D855,Android
07ab0a7c-2585-e711-8119-3863bb340dd8,e_d3WuhS9Mg:APA91bFEJ3feR3RzctmEy5_veShyUmv5dVCBGyndfSVumSN-VrVrknMXMokQJwkn3Gvf5g1aPHcGOq8oaEE2T2_NBJtM0L5brotZlOPLqjaFzDZj3E59GH1hrcWUkoppNF-FavgBR0xG,samsung SM-G965F,Android
e0c3757f-c504-e711-80f0-021dd8b71cd3,cenIdae95B4:APA91bE1KN-VrAGANohLsY7xifhEsqortoMyUpEZxTxd7KqMvs4gqeD-k5VJy7XRmuzNpeeiI2yJGFzf7uuf5yqZOYWqsnwDmMc2IGXp6jp8-sT551GqXGJHxOUhLGa9r1BemPPr7ZXB,HUAWEI ANE-LX1,Android
bcd09ea9-570a-e711-80f0-021dd8b71cd3,fZjpi1ld_Zs:APA91bGViGbfvzAWNfTRiTyx9eGc1cNOn3YKibm7u83tAthJFXQDlYTJrAr6cvr0lTdXB1swj1dKKBx-DEkxazJ8aAYzKLWpYYuAv_ZRN4OKOjwS3nyL4AjO9hrqDJxeVwLiSK7opKvE,LGE Nexus 5,Android
c951525e-7fc8-e711-811b-3863bb354ff0,fJjQu0ire8Y:APA91bFsYGFUL1O8xwh_JoQj2HOhk8pa_KQENnNBzZjB0dtaUWGZ9mLXLqj6xzD-3zxpsPvIDz3GQzLQBFvDEf_xclrQeu0aBR1H_Psi2nMxw1RGl07JldL4BVLKN-VC8AE0q1NzSf9q,samsung SM-G935F,Android
cdbe93e6-145f-e811-813d-3863bb34fb48,eBTO-TJMrKw:APA91bFJmm-dER5gXfPq211_LQcUJ6bNvZGKQgh0uJ-AQ7is0EJAvePN1jC51Ku_12Wu34G-KMdRFCT_GMQZ_WENGahw6WJBrm3J_HCHJGtemP9jwC6BVUpTFVhpUVOHssng20W0fnhA,samsung SM-G960U,Android
869e2309-3e68-e811-8108-1458d041f8e8,dj84JdDISs4:APA91bEhUYxFaF2cPdqSKppPHerHSJlWltvKsq0JmM28792RdCtrG01KP_hu-Ta7QmZjDSOBufGNXsUWiQoFYUl49zhOxJpd8Jmql2lS8rZ7lTG8XoXozB2fX8bhduFC3I-rSBsIA2-K,samsung SM-G955U,Android
f1c3b393-355d-e511-80c7-021dd8b71c5a,fW0t2EjrMU8:APA91bHzZeufmmchr6Cr9fQIbjPrQvYGVZZeOHGvBGfvTNsZcuXO5xHvC9DNQQjV8yd8zKA3jBU0KyRj3AlAVqIVaQLQtp87Jz0coJSTDjTI1dyiRyQsyo04UDrlS3vLpPLUKMBZqhU9,samsung SM-G965U,Android
abe606a6-dab4-e611-80ec-021dd8b71cd3,dQoS5VWcNWc:APA91bFA7xWpnIWgNqvkSZsbY0UxCRkFDZkokYNpFnKfSKeFVkLkPHdKNmDOhBKgW1VWim-fIFdnySaTGHBlBg0q4kGeEd8tqmBHV2I-fiF8UCo9M5ujKoktZ5spwXmQ8Lqt71Bk0EU6,HUAWEI CAM-L21,Android
5eb4b164-cdec-e811-a977-000d3ab9aac9,ertqjqB6JNw:APA91bEI9xUvbhItOAlbiF9ECm6nC7kkvM1Tw3DPhCDO-p0L101Ksf47zskt8ZVDNL8k29QWyU8ivn-_u8G0x-y6AaAWOe8mhGw6DLPqkaOVUnPKtQe5BVcib6ZGkiCFD3cvfHhOriWV,samsung SM-N910V,Android
62b485ca-c91d-e611-80e2-021dd8b71cd3,ejyj-HOYE1s:APA91bErq4zvvWh29TeDS-H0N43srZHLNVsPgIlQR4SHajxuTRu-WpziaAxfJgUfl2I48aQFpL5ms3RMandF7biP1S8AZqyqpRccqnCPSpKfETjIt2A8_QfBHwX8CzbkiCmF8mGVMS1d,OnePlus ONEPLUS A6003,Android
e91d8c08-75d7-e811-a976-000d3ab9add5,dIV-MizNCO0:APA91bEe8lIAYbwAYu6d58Ma1d1PMV4hKoUKJquUpfMUs7VbZwpJQf_40Ook2mYAp4Ips39jJ_dPlhKllPQRBWt-MKu5lG-xgaM63ysoaiTRms1Cbe7xv85BbFzZjUr1lITSDWgp4t5O,samsung SM-G960U,Android
0efea12a-bad5-e711-8127-3863bb340dd8,eDG__LxGz8A:APA91bGwRD6T6CFwKWkqjNhxcBXdG-r9trZ7p3mqK0eh8kJfiLMoTwLAS-EKFoXBArfcF5JCXYvcSBVn14QZPZbieFss9-N1klRmwGFmK7EroSK1i_JhQGTYwdr2MBsBEDHhkZ0UawZr,HUAWEI BLA-L29,Android
a6e581eb-2a45-e211-9f06-00155d350208,daRNp3BA0uY:APA91bHBCLTLotg8D0rsNrikq4a3REMMcH3sE3_92eiy4T3S467uW5ZG4Cts7C8GaPirmAN8Z1qKq5BumKaUDYoUUaAFbL2cGRertIoWWF9R9E9C3ZK3nBi2kI7n3sKfiALk43KyWoai,OnePlus ONEPLUS A5010,Android
ebc56c95-84e4-e511-80d1-021dd8b71c5a,d8G0imwMHko:APA91bEP0FmgocHcueOA9s4Y_2Q0jNv6zJ3AEf-KHbYWnEUEUV9Emf1yXXhgbHtXmjJJrs253YNlOqRHSg7fxClsQsqF6VphhP55sbE0Dv8TylQUILnkafXwieNLHCIXZrP8AVc1a42y,HTC HTC 10,Android
1c1645e6-57f6-e811-a97a-000d3ab9aac9,eVwChjQv9y4:APA91bFDBwdk-sxNjTQo_P9lqFwSNmyrLkptjg2XTJDA2PjOq-_L0VOcV3Wip3gem3u-9ETPVlPbaHu7p-cYaWl-kWGPGIPjuItpzZvY-0IJVtsryaG9bwspdlj2BuU599iuhKqwu6SO,samsung SAMSUNG-SM-G928A,Android
13623ef9-0cec-e811-a97b-000d3ab9a89f,cdzXfvXb0Bg:APA91bH8MQzNfjt1a9NPEe2Jc52XM6qhU25A6kNbZ-5TlpFZGsSxxSAd73qP1UmI1d92llUnM4vvYGjyrA-gY4OB3rP5Xehm1avjSpqn4r_v5jfUCIwtG7jKcjpXfY3TMKVsumLrwXrR,Google Pixel 2,Android
d967be51-78b6-e611-80ec-021dd8b71cd3,fOpFMf9uz4U:APA91bEMrq7tTej1z5DcjtFQYLNEn4TgG9O-kCplb9AxUuULQmSTYxDwiJQk941S-48BXpwJJzB9RcF-FKZymfEsu2lMMoaiG4HseUk3S26nSr4Rega99DaE66Sx1e4Apiv09IHTBzel,Google Pixel 2 XL,Android
dea91465-c8d0-e811-a978-000d3ab9ad32,dnrmKyRvXvw:APA91bFcBieUjRd7MnWUVGS7gZ4qqEU4mfa97qLJ3Eg8exOAG4hGi-_wHgamecaEJYf94QnI9DZq_K6KEO8vucgUvCtEabJnuPSKZJ3nCpVByHm_CQ_qOKlAfrLaxvauSkxyxWuEO_GI,samsung SM-G965U,Android
85b0f4c3-7acd-e811-a973-000d3ab9add5,fq9sZzRjSGw:APA91bEGjWCERaKZcuBPf98RzwOeBR3soMrKGMUfK6cWffxY1miLx-90IsWKfX4ERejOiI5EzIwpH7d-HDSgSqdDmdGbxdmC04tNGrPa7JUrJtFZPkeQiaZIJPSvtjhEngNNMjkhjfwn,LGE VS987,Android
b2907906-58e6-e811-a97c-000d3ab9ad32,dnVc--syUvI:APA91bFrQJuronD6z3-CN4lll_Y-9vDHclS5pmiZEc31ZUxXRIPHBoprfgzY2He-gWxPYr4E01tpvqJPw0_lNuzZX-G1UPqrqBn_21jtJekicTcJJbxACAsyvJ1MEsYTy21RpQm-K11j,BLU Life One X2,Android
58157805-79cd-e811-a973-000d3ab9add5,fExB6i6OT4c:APA91bHn9HK6DKrhnY5S1dq6jymD0g1jGQl1hLoRN1VPf48I66jjRZy-qFrg24jD5blYvFOJ6Fl-eqnEQfMJRqV8BG0N_pMlsZ_Q29cWLvQAxkhDLA0h5y5GZegEBspJ2vF-j06i6CWf,samsung SM-G965U,Android
685e11e0-76f4-e811-a97b-000d3ab9a89f,fUueJ4BuH9Q:APA91bHzmW-x-GYvPsZ-wuAn8ZFZmsVGI8EBLX9bigar13rKZBhVVGqyJFoKeeDaHlj7tkK9WYYUKp7ahnT7C5Sxhu8xEGjPYVAP3FZuxe1BzzypCVMUcGlfziPyJQheDL59lV-sNyPU,Google Pixel 2,Android
cdb9861f-79f5-e811-a97f-000d3ab9a49f,edbr6OzcUDw:APA91bFp3GAaVHIQkCzLqImbmUTTgdNN11nri6E7lVJ4AXZepfMhvhpIe7YvNJJxdoGI2evf3Jt6G9J3Myj51SHyL82rX2SJnRO5X1kGoQSYP2zzyfs56bcEF2wrbppe-_LyTzswkoIc,samsung SM-G950U,Android
ca2d716b-3125-e311-951e-00155d350211,c8PRur1_W2w:APA91bE27YtAJGQT76UkyzISNZGyDnzvlwHW5rXzovUb0LoXB_Z0Iip5wuK1kTvKDYmKBqLrFyR2tMQKyFZeIo6wMl85aQX8Fh0agI1VNk3rbQRiDnpLqXZUWMJKOQOA_njnSVmSVyqR,samsung SM-G950U,Android
884a13fd-c7a1-e711-80e5-1458d041f8e8,dUvbKoEjhn8:APA91bEY9hGcLaO5oniQMU-9k4vjudGD_cLS3fvFpmqRK31X4OUaGdioB9BAQ-p1NtEWPjwyUXsf1pk1vsRplBc0U3g35eIPwe1IdCvs9FEd-ZLVwu1OAIA3rWLVUMn_EMoD1Wyh4fVZ,Google Pixel XL,Android
6c24fb86-5bdb-e811-a977-000d3ab9a5ef,czYmHFc4Cvk:APA91bGZlst91t0eqvJxclCfe1qCD3HliykAMxEMlziOYgCMG3Gm_mSthtfesrx9bOpdLn2Vg6mfOzeOkUrgtsJ2mxfgbNJVjYyg6Hdt-8E_L1DXmhJj2XGyIv4ROkq9W0efLoUnB4ry,samsung SM-G930T,Android
0eaeb195-b5e2-e811-a97d-000d3ab9a49f,d6D5dNn5V8Q:APA91bEuDCnXnl9z4-4-zpf5P5r1cjsM_JInNyisjcxVyJshYEJqJqRcBt3qwqR9-c4nJnWLKGoUNeTc-WhNS_wUWtTGL69FFL-gUcXq70pG2CpXar5rVN6GcQD-bQCb6TtQsKF9bDxw,samsung SM-G955F,Android
d1040561-bdcb-e811-a973-000d3ab9add5,fQQN-jGO3WQ:APA91bHcF-0EaxBR3RpbtZRNGt3vXz4SX19EaQsu_AqxWsa5tZBQP5_Y8yp1ZSort-2NvqcyHAEA_UjJNP-TnP8zPneZoFJGqktb-Usfc4uZwla5UkMi9QhxgrqERIMkiGdrUHY0ebbD,samsung SM-G950U,Android
ace84f87-7dcd-e811-a973-000d3ab9add5,ev9KE3GRqzI:APA91bELjI27mAXklAkMH4qhIcwSrl-1yHjVN3xkciCjgQPte4_WCFGj2p0V_F-WfUf07yuyWRroTnoDXSK0GwN9yEdBfh_XqoEr-EMIZ8ppbKX1NhsKdgC8LtncC_lHrNQoe5jpubsZ,samsung SM-J737V,Android
7cf6d428-2cb8-e811-a96c-000d3ab9add5,fbrF5dCyl7E:APA91bGxGlgUIevElJv2WciP9W2xpr-Y-NZX9TmLoIyzctOgiASG5xJANVwReUsMXhOnVI5ZgfWHec77dIrz5jYTLmZvQZLb48YE3jQxEN-_wv1LmL5iTXqtwVc0gtNse3pB549eeQYy,samsung SM-G960U,Android
5ff9d581-ee87-e211-80f2-00155d350211,cA1Bs1gL4pg:APA91bFXnBEJSYfJ5uawssYHfgT1sBoXxappFC4Y503khlwERuxkJhd4cXnOZVfVpc0dNG0lxJ0o2KGClbFyBVu1qKA8AqGgoZZSqnPfuoUUJsA-f3A1Bf3OKXO4frKnfQr3rPC0yh60,samsung SM-G960U,Android
ea993307-73d7-e811-a976-000d3ab9add5,fVtTJ1Pt_9c:APA91bG7KtbgjL6UJaZz2cn2HPr-ybDX1DeChvRLCFljMEcYWJmeybPe5kJB0Undn_34rhZA20DQMl9oYfE5-VC02DC36vSoV2QIAijsvW3YTpn8mwum8NhXI0OpjiOmaeV-408WhGHD,samsung SM-G960U,Android
0690311c-50af-e611-80ec-021dd8b71cd3,eKTQ6F1w6G8:APA91bGKu6qJUlNONZ50hs-mC_oKq6tlBp8LMxDcgASN-VYkfX8kcikyleQoN0_008POZ40Z5J0Z3CTnN6dzjJEsvfzHsENYV9-8AjLg74P4RBek2HzCIFSM4K8ddhlzUXX_rDJ_6Xiz,samsung SM-G965U,Android
ab13d28f-20f8-e811-a97f-000d3ab9a49f,eJI38z_xBrc:APA91bGYtyOG2j7L_qG6ZfEMF5yyeuDGkp104OAk17GPJRqT2X-RchN_VHQgSnUWaXm0JNjwEfHB1NsFphOTOzQurJ_mJZpvHMceUDuS6hmb5kYidQgQ0glWgvXyfwgzwCKYQk62yReK,samsung SM-G950U1,Android
86a4de03-dcca-e811-a975-000d3ab9a89f,dxWfMgawONs:APA91bEH9fUpddfofPs_hs63DLc-jJR-vvVO3P2mknO7Co9xYCVoi63ru19IuOxSWgGzX47cYg3-moYTMaIy56eQO_ZOR0RwT5eItfDihqGZyyOraFReQnC2mU40kHG_wViWdUg1_TJC,BlackBerry BBB100-2,Android
58ed1ff8-24d0-e711-80ef-1458d041f8e8,eJEcNF_ASKI:APA91bF2p6sQYp8AlfFirw4VG7c9vBejC1MjFIKFXYVCJQWFm0yNnkejEUfRyrMarKM02ArSSD2hyAsqmzjAQSKfMJHp0qlqUYG7E-lorOa_9d6Lu7pU4zST3cAnJ362KbcaHl_hdhFR,samsung SM-G930P,Android
37f1104b-d3f7-e811-a97a-000d3ab9aac9,fI9CxBMGjLw:APA91bFrkwXLfhmbO6IkEHunAWogsNtyXK2LMegngqJsiMLx6cMyzJSxCRzBsEve33khe5_zKfMQy6xBWWph4lI5pMRzhKhM9827mIGwz3WAZebEPFswYXZPSI7FOPuZk3WY1q4Nvpeb,samsung SM-N950U,Android
c6a8b6dc-2845-e211-9f06-00155d350208,es3iKXM5AGg:APA91bHbPxQkpKISS_RYkOnuUS5iTqJUvYPSRTqQAUlLsaQSejtQARVwnTnw9zmwdIM09ehxPCCZuMjU3-o67JV7rjc5ocGiG9rxdwDAT-Yw8WgVozLLO5h4W4q58fA9b-JiG7Gg5RRP,samsung SM-G390W,Android
5f4a5f85-ddeb-e811-a97b-000d3ab9a89f,dnAaJeU8gyk:APA91bEuLlkuwPZQoirIsrLKORoY_FDUf0XrhOC7MC7SzQp1H-t8upJB9nWNHUMyN-yjQe16e7pcQKEEBX6qcv7mSK2aP-IBDm_sTVj4FCCEqvFunyngPT8TnCT-na5SkG3z1Y0wi5aR,Google Pixel 2,Android
bda4bf31-a5e6-e811-a97c-000d3ab9ad32,f5JBVO9Podg:APA91bH9KSzdvcD5W-tHd65E5OyoSCH1GpcL1TypjtLOUQ2TJ1qD2ZPIZQvU-7KMMFXGPNGQgLIleEW1gmLO-s06obBY9jo72KBAibsGrnfTiTQTkX6GF3eUv8COfJQqMhXipyDjzACk,samsung SM-G920F,Android
f214d26a-1ee8-e811-a978-000d3ab9a5ef,eTZTNs4LMAU:APA91bEmXrtUyD_44bZk2YfD9ALJleYNEEa9CFLrfU2GJ_L5dNLv_prPefVZ2pkLSaWICH2ge2i2DChTTGpBso0PIBBwpLU2NBgOcaC7Ud6EN1MGGt_i_Klu1V3ffxS1CDZmAEFExkKq,samsung SM-G955F,Android
ba0044d2-7ef2-e811-a97b-000d3ab9a89f,e05zbvCXXCw:APA91bGa2We4Uyf_jDlZUwADbEdbgkBba0tsm6gK60z744rxDz1S4I5KLlhzik6usbdMkjXC5IVng5j9hfGWcBSlLftVnQzMy56E9W85xqhpWf3yaqGZPyflZmKCEvJkBXWXOnkTKhdq,Google Pixel 3,Android
2740df4a-a5f8-e811-a97f-000d3ab9a49f,fsifF68kzcM:APA91bHxBKjGTpkHiB1-lsHh4s7UM_J2usYM4s1d02PlqW4-isqlykuCoPNzqdwKdtWz_z2gOLywCC-VmzdriKKhPaJOpn6oW7_r1Y8aU2DN50ddGfQ8UMXGz-J8SHHu83jORjvWRTFl,Google Pixel 3 XL,Android
82fb9361-e88e-e711-811a-3863bb340dd8,csDQQ297IIo:APA91bG5nITjFSEBoatdG2qesi5UZRWdY27fkX-3uKBwwwpeH7dNjWqzWTAml0HYVE2-Y5sWNTY4aoLx2K9Iri1bBooQw1VjXChlNNdsD5OrBNSJv66RT_IERzTdHvaY6zWsiYdLm21n,Google Pixel 2,Android
